case_id,activity,start_time,end_time,resource
1,Check application form completeness,2025-01-01 12:31:03.641393+00:00,2025-01-01 12:31:03.641393+00:00,2025-01-01 13:12:18.284381+00:00,Clerk-000001
2,Check application form completeness,2025-01-01 13:00:00.006127+00:00,2025-01-01 13:12:00.000000+00:00,2025-01-01 13:17:35.362490+00:00,Clerk-000002
1,Check credit history,2025-01-01 13:12:18.284381+00:00,2025-01-01 13:12:18.284381+00:00,2025-01-01 14:49:36.164167+00:00,Applicant-000001
2,Check credit history,2025-01-01 13:17:35.362490+00:00,2025-01-01 13:17:35.362490+00:00,2025-01-01 13:36:43.514753+00:00,Clerk-000003
3,Check application form completeness,2025-01-01 13:30:00.000000+00:00,2025-01-01 13:30:00.000000+00:00,2025-01-01 13:30:17.647890+00:00,AML Investigator-000001
3,Check credit history,2025-01-01 13:30:17.647890+00:00,2025-01-01 13:30:17.647890+00:00,2025-01-01 13:30:48.180122+00:00,Clerk-000004
3,AML check,2025-01-01 13:30:48.180122+00:00,2025-01-01 13:30:48.180122+00:00,2025-01-01 13:40:54.831823+00:00,Appraiser-000001
2,AML check,2025-01-01 13:36:43.514753+00:00,2025-01-01 13:36:43.514753+00:00,2025-01-01 13:37:33.714958+00:00,Loan Officer-000001
2,Assess loan risk,2025-01-01 13:37:33.714958+00:00,2025-01-01 13:37:33.714958+00:00,2025-01-01 13:53:40.193983+00:00,Clerk-000005
3,Assess loan risk,2025-01-01 13:40:54.831823+00:00,2025-01-01 13:40:54.831823+00:00,2025-01-01 13:54:49.567915+00:00,Appraiser-000002
0,Check application form completeness,2025-01-01 13:42:36.428197+00:00,2025-01-01 13:42:36.428197+00:00,2025-01-01 13:43:15.351145+00:00,AML Investigator-000002
0,Check credit history,2025-01-01 13:43:15.351145+00:00,2025-01-01 13:43:15.351145+00:00,2025-01-01 13:49:22.362550+00:00,Clerk-000006
0,AML check,2025-01-01 13:49:22.362550+00:00,2025-01-01 13:49:22.362550+00:00,2025-01-02 09:06:50.731936+00:00,Clerk-000007
3,Design loan offer,2025-01-01 13:54:49.567915+00:00,2025-01-01 13:54:49.567915+00:00,2025-01-01 14:24:03.734221+00:00,Loan Officer-000002
2,Reject application,2025-01-01 13:55:51.942667+00:00,2025-01-01 13:55:51.942667+00:00,2025-01-01 14:26:06.698292+00:00,Senior Officer-000001
4,Check application form completeness,2025-01-01 14:00:00.000000+00:00,2025-01-01 14:00:00.000000+00:00,2025-01-01 14:37:05.582023+00:00,Clerk-000008
3,Approve loan offer,2025-01-01 14:24:03.734221+00:00,2025-01-01 14:24:03.734221+00:00,2025-01-01 14:33:50.259354+00:00,Loan Officer-000003
5,Check application form completeness,2025-01-01 14:30:00.000000+00:00,2025-01-01 14:30:00.000000+00:00,2025-01-02 07:59:38.565563+00:00,Loan Officer-000004
3,Approve application,2025-01-01 14:33:50.259459+00:00,2025-01-01 14:33:50.259459+00:00,2025-01-01 14:39:08.320280+00:00,Senior Officer-000002
4,Check credit history,2025-01-01 14:37:05.582023+00:00,2025-01-01 14:37:05.582023+00:00,2025-01-01 14:41:59.351421+00:00,Clerk-000001
4,Appraise property,2025-01-01 14:41:59.351421+00:00,2025-01-01 14:41:59.351421+00:00,2025-01-01 14:42:02.542425+00:00,Clerk-000002
4,Assess loan risk,2025-01-01 14:42:02.542425+00:00,2025-01-01 14:42:02.542425+00:00,2025-01-02 07:49:35.849092+00:00,AML Investigator-000001
1,Appraise property,2025-01-01 14:49:36.164167+00:00,2025-01-01 14:49:36.164167+00:00,2025-01-02 09:04:02.712424+00:00,Clerk-000004
6,Check application form completeness,2025-01-01 15:07:29.301359+00:00,2025-01-02 07:48:00.000000+00:00,2025-01-02 07:48:08.022695+00:00,Clerk-000003
7,Check application form completeness,2025-01-01 19:32:32.066746+00:00,2025-01-02 07:48:00.000000+00:00,2025-01-02 09:17:33.940687+00:00,Loan Officer-000001
9,Check application form completeness,2025-01-02 07:34:51.565738+00:00,2025-01-02 07:48:00.000000+00:00,2025-01-02 07:49:27.740018+00:00,Appraiser-000001
6,Check credit history,2025-01-02 07:48:08.022695+00:00,2025-01-02 07:48:08.022695+00:00,2025-01-02 07:52:40.297419+00:00,AML Investigator-000002
9,Check credit history,2025-01-02 07:49:27.740018+00:00,2025-01-02 07:49:27.740018+00:00,2025-01-02 09:04:01.229504+00:00,Clerk-000006
4,Design loan offer,2025-01-02 07:49:35.849092+00:00,2025-01-02 07:49:35.849092+00:00,2025-01-02 07:55:01.503919+00:00,Clerk-000005
6,Appraise property,2025-01-02 07:52:40.297419+00:00,2025-01-02 07:52:40.297419+00:00,2025-01-02 09:06:37.895481+00:00,Appraiser-000002
4,Approve loan offer,2025-01-02 07:55:01.503919+00:00,2025-01-02 07:55:01.503919+00:00,2025-01-02 09:02:22.460800+00:00,Loan Officer-000002
5,Check credit history,2025-01-02 07:59:38.565563+00:00,2025-01-02 07:59:38.565563+00:00,2025-01-02 09:48:27.378476+00:00,Senior Officer-000001
10,Check application form completeness,2025-01-02 08:00:00.000007+00:00,2025-01-02 09:00:00.000000+00:00,2025-01-02 09:05:59.660569+00:00,Loan Officer-000003
12,Check application form completeness,2025-01-02 09:00:00.000000+00:00,2025-01-02 09:00:00.000000+00:00,2025-01-02 09:00:03.927016+00:00,Clerk-000008
12,Check credit history,2025-01-02 09:00:03.927016+00:00,2025-01-02 09:00:03.927016+00:00,2025-01-02 09:04:18.648317+00:00,Senior Officer-000002
9,AML check,2025-01-02 09:04:01.229504+00:00,2025-01-02 09:04:01.229504+00:00,2025-01-02 09:14:34.103870+00:00,Clerk-000001
1,Assess loan risk,2025-01-02 09:04:02.712424+00:00,2025-01-02 09:04:02.712424+00:00,2025-01-02 09:17:35.425928+00:00,Clerk-000002
12,AML check,2025-01-02 09:04:18.648317+00:00,2025-01-02 09:04:18.648317+00:00,2025-01-02 10:09:30.746721+00:00,Applicant-000001
10,Check credit history,2025-01-02 09:05:59.660569+00:00,2025-01-02 09:05:59.660569+00:00,2025-01-02 09:08:02.937836+00:00,Clerk-000003
6,Assess loan risk,2025-01-02 09:06:37.895481+00:00,2025-01-02 09:06:37.895481+00:00,2025-01-02 09:15:22.094797+00:00,Appraiser-000001
0,Assess loan risk,2025-01-02 09:06:50.731936+00:00,2025-01-02 09:06:50.731936+00:00,2025-01-02 09:23:42.960245+00:00,AML Investigator-000001
10,AML check,2025-01-02 09:08:02.937836+00:00,2025-01-02 09:08:02.937836+00:00,2025-01-02 09:08:20.641227+00:00,AML Investigator-000002
10,Assess loan risk,2025-01-02 09:08:20.641227+00:00,2025-01-02 09:08:20.641227+00:00,2025-01-02 09:08:54.047656+00:00,Clerk-000005
10,Design loan offer,2025-01-02 09:08:54.047656+00:00,2025-01-02 09:08:54.047656+00:00,2025-01-02 09:09:32.803347+00:00,Loan Officer-000004
10,Approve loan offer,2025-01-02 09:09:32.803347+00:00,2025-01-02 09:09:32.803347+00:00,2025-01-02 09:18:54.126479+00:00,Clerk-000008
9,Assess loan risk,2025-01-02 09:14:34.103870+00:00,2025-01-02 09:14:34.103870+00:00,2025-01-02 09:26:17.802832+00:00,Loan Officer-000002
6,Design loan offer,2025-01-02 09:15:22.094797+00:00,2025-01-02 09:15:22.094797+00:00,2025-01-02 09:15:31.065439+00:00,Clerk-000006
6,Approve loan offer,2025-01-02 09:15:31.065439+00:00,2025-01-02 09:15:31.065439+00:00,2025-01-02 09:16:01.269303+00:00,Clerk-000004
6,Approve application,2025-01-02 09:16:01.272597+00:00,2025-01-02 09:16:01.272598+00:00,2025-01-02 09:17:50.867838+00:00,Senior Officer-000002
7,Check credit history,2025-01-02 09:17:33.940687+00:00,2025-01-02 09:17:33.940687+00:00,2025-01-02 09:32:26.451128+00:00,Loan Officer-000003
1,Design loan offer,2025-01-02 09:17:35.425928+00:00,2025-01-02 09:17:35.425928+00:00,2025-01-02 09:20:28.179607+00:00,Appraiser-000002
10,Approve application,2025-01-02 09:19:22.939960+00:00,2025-01-02 09:19:22.939960+00:00,2025-01-02 09:20:43.577535+00:00,Clerk-000007
1,Approve loan offer,2025-01-02 09:20:28.179607+00:00,2025-01-02 09:20:28.179607+00:00,2025-01-02 09:40:06.433349+00:00,Clerk-000003
0,Design loan offer,2025-01-02 09:23:42.960245+00:00,2025-01-02 09:23:42.960245+00:00,2025-01-02 09:23:52.312321+00:00,AML Investigator-000002
0,Approve loan offer,2025-01-02 09:23:52.312321+00:00,2025-01-02 09:23:52.312321+00:00,2025-01-02 09:28:35.976174+00:00,Clerk-000005
9,Reject application,2025-01-02 09:26:17.802832+00:00,2025-01-02 09:26:17.802832+00:00,2025-01-02 09:26:31.598251+00:00,Loan Officer-000004
13,Check application form completeness,2025-01-02 09:30:00.000190+00:00,2025-01-02 09:30:00.000190+00:00,2025-01-02 09:48:15.996815+00:00,Clerk-000001
7,AML check,2025-01-02 09:32:26.451128+00:00,2025-01-02 09:32:26.451128+00:00,2025-01-02 09:52:33.518102+00:00,Appraiser-000001
